ItemID,ItemName,Price,Category,ProviderID
1,Pizza,105,Food,797
2,Coffee,33,Drink,519
3,Burger,133,Food,195
4,Juice,133,Drink,795
5,Juice,46,Food,842
6,Salad,62,Food,471
7,Steak,143,Food,5
8,Tea,21,Food,342
9,Fish,21,Food,534
10,Tea,15,Drink,655
11,Coffee,92,Food,198
12,Tea,80,Drink,792
13,Fish,40,Drink,153
14,Salad,80,Food,16
15,Pizza,62,Drink,563
16,Juice,79,Food,966
17,Tea,72,Food,73
18,Tea,96,Drink,52
19,Salad,17,Drink,925
20,Burger,37,Drink,56
21,Pizza,119,Drink,184
22,Fish,101,Drink,341
23,Coffee,146,Food,998
24,Fish,43,Food,833
25,Fish,34,Drink,318
26,Fish,130,Food,971
27,Coffee,46,Drink,935
28,Juice,110,Food,717
29,Juice,93,Drink,500
30,Burger,26,Drink,116
31,Juice,132,Drink,867
32,Salad,82,Drink,619
33,Salad,140,Food,416
34,Pizza,93,Food,812
35,Tea,146,Drink,411
36,Steak,71,Food,562
37,Salad,133,Drink,68
38,Juice,63,Drink,804
39,Steak,97,Food,178
40,Pizza,134,Food,607
41,Fish,93,Food,842
42,Fish,55,Drink,979
43,Steak,27,Food,702
44,Steak,93,Drink,661
45,Burger,33,Food,837
46,Salad,10,Food,677
47,Salad,125,Drink,400
48,Fish,60,Food,698
49,Juice,86,Drink,941
50,Steak,98,Food,597
51,Burger,140,Drink,868
52,Salad,85,Food,379
53,Burger,10,Drink,113
54,Tea,17,Food,443
55,Steak,91,Drink,416
56,Steak,121,Food,679
57,Salad,131,Food,193
58,Steak,102,Drink,158
59,Tea,42,Food,12
60,Pizza,14,Food,739
61,Fish,121,Food,87
62,Salad,116,Drink,916
63,Steak,56,Drink,522
64,Steak,125,Drink,364
65,Coffee,57,Drink,620
66,Burger,137,Food,730
67,Tea,115,Drink,35
68,Burger,133,Drink,116
69,Fish,30,Food,748
70,Tea,129,Food,536
71,Pizza,72,Drink,646
72,Pizza,148,Drink,628
73,Burger,97,Food,481
74,Fish,141,Drink,588
75,Juice,117,Drink,984
76,Tea,84,Food,37
77,Tea,76,Food,645
78,Fish,53,Food,673
79,Tea,16,Drink,497
80,Pizza,42,Food,872
81,Tea,74,Food,631
82,Tea,80,Drink,15
83,Pizza,54,Food,675
84,Fish,104,Food,268
85,Coffee,134,Food,819
86,Burger,97,Food,991
87,Salad,49,Drink,771
88,Steak,108,Food,677
89,Fish,52,Food,592
90,Juice,23,Drink,774
91,Pizza,23,Food,476
92,Steak,131,Drink,488
93,Coffee,107,Drink,486
94,Tea,47,Drink,13
95,Tea,124,Drink,695
96,Juice,145,Food,100
97,Juice,120,Drink,344
98,Tea,78,Food,262
99,Steak,128,Food,752
100,Coffee,143,Drink,694
101,Salad,90,Food,689
102,Burger,27,Food,422
103,Pizza,144,Food,702
104,Fish,99,Food,743
105,Tea,74,Food,35
106,Burger,33,Food,962
107,Coffee,41,Food,89
108,Salad,106,Food,918
109,Pizza,57,Drink,302
110,Fish,29,Drink,945
111,Tea,119,Drink,264
112,Salad,28,Drink,796
113,Burger,107,Drink,341
114,Burger,76,Drink,183
115,Fish,27,Drink,951
116,Coffee,110,Food,661
117,Fish,37,Food,554
118,Steak,65,Food,935
119,Fish,76,Food,36
120,Pizza,28,Drink,796
121,Fish,14,Drink,153
122,Burger,19,Drink,273
123,Salad,94,Drink,589
124,Burger,141,Drink,490
125,Steak,113,Food,554
126,Coffee,10,Drink,978
127,Fish,41,Drink,342
128,Tea,112,Food,648
129,Pizza,103,Drink,83
130,Fish,84,Food,181
131,Burger,108,Food,307
132,Steak,37,Drink,499
133,Pizza,122,Food,144
134,Burger,59,Food,738
135,Coffee,135,Drink,65
136,Tea,137,Drink,990
137,Burger,19,Drink,58
138,Juice,20,Drink,122
139,Coffee,143,Drink,963
140,Salad,69,Food,38
141,Salad,135,Food,483
142,Burger,72,Food,15
143,Salad,22,Drink,841
144,Pizza,126,Food,856
145,Pizza,37,Food,510
146,Coffee,26,Food,437
147,Juice,112,Drink,124
148,Salad,92,Food,783
149,Burger,54,Drink,65
150,Pizza,80,Food,776
151,Steak,53,Drink,567
152,Salad,122,Food,948
153,Burger,44,Food,811
154,Steak,50,Food,901
155,Fish,30,Food,8
156,Salad,32,Drink,427
157,Fish,42,Food,147
158,Tea,143,Drink,422
159,Coffee,54,Food,611
160,Salad,137,Food,643
161,Tea,99,Drink,5
162,Coffee,59,Food,543
163,Pizza,102,Food,476
164,Coffee,80,Food,199
165,Pizza,48,Drink,510
166,Salad,50,Food,56
167,Juice,82,Food,446
168,Tea,95,Drink,45
169,Pizza,23,Food,162
170,Burger,134,Food,73
171,Coffee,123,Drink,430
172,Coffee,93,Food,798
173,Pizza,93,Food,101
174,Coffee,115,Food,385
175,Coffee,28,Drink,600
176,Fish,23,Drink,149
177,Coffee,126,Food,397
178,Juice,44,Drink,738
179,Coffee,101,Drink,208
180,Juice,42,Food,709
181,Burger,81,Food,114
182,Fish,127,Drink,176
183,Juice,66,Drink,619
184,Salad,53,Food,89
185,Steak,143,Drink,883
186,Coffee,131,Drink,286
187,Burger,119,Food,254
188,Juice,121,Food,914
189,Salad,11,Drink,46
190,Burger,130,Food,436
191,Steak,132,Food,464
192,Fish,71,Food,572
193,Burger,114,Food,136
194,Juice,85,Food,664
195,Pizza,14,Drink,686
196,Tea,51,Drink,879
197,Burger,126,Drink,791
198,Salad,113,Food,809
199,Juice,128,Food,882
200,Pizza,108,Drink,544
201,Burger,85,Drink,771
202,Tea,148,Food,807
203,Pizza,95,Food,528
204,Juice,23,Food,393
205,Juice,129,Food,375
206,Juice,54,Food,575
207,Coffee,45,Drink,245
208,Pizza,132,Food,772
209,Coffee,92,Drink,920
210,Tea,138,Drink,284
211,Burger,26,Drink,354
212,Fish,134,Food,482
213,Tea,125,Drink,820
214,Pizza,58,Drink,90
215,Pizza,110,Food,296
216,Pizza,37,Food,283
217,Pizza,47,Drink,155
218,Coffee,143,Food,301
219,Steak,148,Food,486
220,Juice,117,Drink,756
221,Burger,84,Food,65
222,Burger,69,Drink,422
223,Juice,93,Drink,608
224,Fish,127,Drink,581
225,Salad,88,Food,809
226,Tea,68,Drink,381
227,Tea,22,Food,362
228,Tea,126,Food,634
229,Salad,147,Drink,187
230,Salad,49,Food,244
231,Pizza,20,Drink,589
232,Salad,122,Drink,379
233,Salad,62,Food,682
234,Juice,98,Food,382
235,Fish,148,Food,547
236,Tea,41,Food,415
237,Fish,47,Drink,951
238,Juice,49,Food,994
239,Juice,85,Drink,918
240,Tea,47,Drink,347
241,Pizza,132,Food,143
242,Pizza,88,Food,412
243,Coffee,124,Drink,95
244,Juice,24,Food,598
245,Coffee,81,Food,24
246,Pizza,147,Drink,694
247,Pizza,141,Drink,200
248,Fish,91,Food,931
249,Juice,111,Food,734
250,Steak,104,Drink,382
251,Burger,82,Drink,360
252,Tea,124,Food,221
253,Fish,116,Drink,296
254,Salad,118,Drink,143
255,Pizza,46,Food,311
256,Fish,144,Drink,68
257,Steak,32,Food,420
258,Tea,116,Food,570
259,Fish,45,Food,191
260,Steak,84,Drink,44
261,Tea,87,Drink,573
262,Fish,67,Food,811
263,Burger,49,Drink,308
264,Fish,41,Drink,428
265,Salad,135,Food,30
266,Pizza,80,Drink,994
267,Pizza,102,Drink,580
268,Steak,76,Drink,998
269,Pizza,105,Food,866
270,Tea,51,Food,150
271,Juice,128,Food,366
272,Salad,23,Drink,370
273,Steak,101,Food,297
274,Tea,145,Food,527
275,Coffee,56,Food,614
276,Salad,149,Drink,894
277,Juice,87,Drink,702
278,Juice,34,Drink,844
279,Salad,13,Food,531
280,Tea,105,Drink,422
281,Juice,51,Food,224
282,Salad,138,Food,852
283,Coffee,144,Food,428
284,Fish,29,Food,839
285,Salad,14,Drink,357
286,Tea,102,Food,837
287,Fish,143,Drink,177
288,Tea,17,Food,228
289,Salad,46,Food,315
290,Salad,63,Food,81
291,Steak,38,Food,20
292,Fish,120,Food,202
293,Pizza,18,Food,481
294,Pizza,74,Food,68
295,Tea,12,Food,802
296,Pizza,62,Food,190
297,Juice,17,Food,150
298,Tea,99,Drink,165
299,Coffee,139,Food,102
300,Burger,145,Food,733
301,Coffee,82,Food,924
302,Burger,35,Food,943
303,Fish,103,Food,451
304,Pizza,56,Drink,389
305,Steak,64,Food,418
306,Pizza,90,Food,478
307,Pizza,143,Food,508
308,Juice,83,Food,85
309,Juice,136,Food,395
310,Tea,126,Drink,704
311,Fish,67,Drink,298
312,Steak,58,Food,917
313,Fish,104,Food,14
314,Fish,36,Drink,449
315,Pizza,40,Food,405
316,Steak,36,Food,67
317,Juice,60,Drink,206
318,Steak,41,Food,859
319,Steak,137,Drink,784
320,Tea,112,Drink,488
321,Steak,134,Drink,151
322,Fish,37,Food,257
323,Fish,137,Food,644
324,Salad,17,Food,756
325,Burger,27,Drink,695
326,Burger,55,Drink,620
327,Juice,49,Drink,637
328,Pizza,29,Drink,812
329,Fish,61,Drink,678
330,Fish,135,Drink,556
331,Juice,148,Food,976
332,Burger,120,Food,393
333,Fish,90,Drink,454
334,Fish,19,Food,182
335,Tea,52,Drink,442
336,Salad,89,Drink,500
337,Pizza,135,Drink,488
338,Salad,139,Food,401
339,Tea,136,Drink,632
340,Juice,82,Drink,63
341,Burger,21,Food,858
342,Juice,99,Food,784
343,Juice,107,Food,439
344,Juice,101,Drink,360
345,Burger,72,Food,241
346,Tea,31,Food,890
347,Tea,39,Drink,174
348,Burger,147,Drink,39
349,Fish,118,Drink,274
350,Burger,130,Food,325
351,Steak,109,Drink,587
352,Pizza,135,Food,708
353,Coffee,96,Drink,515
354,Juice,52,Drink,373
355,Steak,61,Drink,651
356,Pizza,147,Food,295
357,Tea,22,Drink,588
358,Steak,67,Food,735
359,Pizza,96,Drink,69
360,Fish,119,Food,356
361,Pizza,87,Drink,444
362,Juice,61,Drink,412
363,Tea,141,Drink,688
364,Salad,14,Food,591
365,Fish,64,Drink,275
366,Steak,25,Food,374
367,Fish,47,Food,155
368,Tea,121,Drink,327
369,Pizza,62,Drink,274
370,Tea,51,Drink,704
371,Coffee,113,Food,117
372,Salad,59,Food,252
373,Tea,128,Drink,574
374,Steak,118,Food,207
375,Salad,79,Food,30
376,Tea,81,Food,660
377,Burger,134,Food,57
378,Pizza,90,Drink,888
379,Pizza,114,Drink,688
380,Pizza,111,Food,242
381,Pizza,138,Food,535
382,Tea,137,Food,244
383,Pizza,90,Drink,853
384,Steak,70,Drink,224
385,Salad,37,Food,220
386,Tea,122,Drink,261
387,Burger,135,Drink,717
388,Pizza,91,Drink,487
389,Coffee,81,Food,372
390,Fish,104,Drink,22
391,Burger,23,Food,260
392,Steak,89,Drink,925
393,Pizza,146,Food,879
394,Fish,109,Food,932
395,Steak,75,Drink,93
396,Coffee,86,Food,881
397,Salad,122,Drink,901
398,Steak,18,Drink,888
399,Pizza,135,Drink,755
400,Steak,95,Drink,898
401,Pizza,51,Drink,519
402,Pizza,100,Drink,617
403,Juice,126,Food,781
404,Burger,57,Drink,811
405,Salad,10,Drink,205
406,Tea,90,Food,114
407,Salad,73,Food,868
408,Steak,91,Drink,490
409,Salad,76,Food,704
410,Juice,82,Food,87
411,Steak,104,Food,403
412,Steak,67,Food,971
413,Burger,68,Food,998
414,Fish,60,Drink,719
415,Salad,22,Drink,633
416,Steak,76,Food,92
417,Juice,53,Food,15
418,Steak,126,Drink,122
419,Coffee,62,Food,969
420,Tea,83,Drink,392
421,Salad,120,Food,615
422,Coffee,82,Food,429
423,Salad,114,Food,30
424,Tea,77,Food,633
425,Fish,73,Drink,597
426,Fish,31,Food,481
427,Salad,92,Drink,704
428,Coffee,108,Drink,754
429,Tea,28,Food,571
430,Burger,23,Drink,954
431,Coffee,130,Drink,621
432,Burger,11,Drink,517
433,Steak,87,Drink,688
434,Juice,43,Food,595
435,Salad,76,Food,516
436,Fish,96,Drink,136
437,Pizza,91,Drink,146
438,Tea,39,Drink,46
439,Salad,137,Drink,766
440,Juice,120,Drink,925
441,Tea,77,Drink,447
442,Salad,90,Drink,783
443,Salad,122,Food,194
444,Salad,23,Food,188
445,Burger,130,Drink,168
446,Fish,121,Food,917
447,Fish,20,Drink,366
448,Fish,127,Drink,116
449,Salad,41,Drink,96
450,Coffee,82,Food,855
451,Salad,140,Drink,577
452,Coffee,11,Food,427
453,Pizza,73,Drink,694
454,Pizza,94,Food,292
455,Pizza,110,Drink,605
456,Pizza,92,Food,30
457,Pizza,127,Drink,465
458,Tea,11,Drink,994
459,Burger,125,Drink,971
460,Salad,64,Food,821
461,Tea,92,Food,762
462,Pizza,150,Drink,95
463,Steak,75,Food,246
464,Steak,32,Food,873
465,Coffee,51,Drink,799
466,Steak,82,Food,124
467,Tea,135,Drink,754
468,Tea,43,Drink,682
469,Pizza,104,Food,502
470,Fish,109,Drink,275
471,Steak,33,Drink,831
472,Juice,57,Drink,646
473,Steak,33,Food,526
474,Juice,128,Food,664
475,Salad,136,Food,298
476,Fish,121,Food,929
477,Fish,86,Food,131
478,Tea,73,Drink,303
479,Burger,29,Food,526
480,Pizza,140,Drink,423
481,Pizza,128,Drink,364
482,Tea,30,Food,117
483,Fish,55,Food,864
484,Steak,21,Food,427
485,Tea,90,Drink,776
486,Fish,77,Drink,990
487,Salad,64,Food,81
488,Tea,37,Drink,548
489,Burger,11,Drink,120
490,Burger,53,Drink,472
491,Steak,134,Drink,634
492,Juice,111,Drink,90
493,Salad,44,Food,196
494,Pizza,14,Food,880
495,Burger,63,Drink,665
496,Salad,71,Drink,863
497,Coffee,32,Drink,789
498,Fish,47,Drink,433
499,Burger,39,Food,925
500,Salad,123,Drink,483
501,Burger,125,Food,207
502,Tea,110,Food,342
503,Burger,36,Drink,426
504,Fish,84,Food,500
505,Steak,134,Drink,238
506,Burger,145,Food,433
507,Juice,26,Drink,915
508,Steak,131,Food,507
509,Juice,124,Drink,22
510,Salad,83,Food,481
511,Juice,122,Food,520
512,Coffee,96,Drink,135
513,Tea,109,Drink,854
514,Juice,130,Food,637
515,Coffee,82,Food,684
516,Fish,43,Food,205
517,Salad,135,Food,813
518,Steak,136,Drink,241
519,Coffee,22,Food,368
